4000000,140206, 0.0651668, 0.0650714, 0.0305621, 18.7481, 0.0716719 0
8000000, 37.5674, 0.0469857, 0.0671128, 0.0402847, 5.43416, 0.0650179 0
12000000, 37.8245, 0.0662259, 0.03505, 0.0329518, 22.7591, 0.0657005 0
16000000, 37.6155, 0.0483377, 0.0564112, 0.0396538, 18.3992, 0.0585468 0
20000000,37793, 0.0601184, 0.0620411, 0.0388548, 14.5263, 0.0564393 0
24000000, 37.8408, 0.0515046, 0.0378794, 0.0382286, 11.0507, 0.0499443 0
28000000, 38.0112, 0.0584127, 0.0613851, 0.0363965, 7.84448, 0.0588517 0
32000000, 37.8744, 0.0494333, 0.0618493, 0.0416148, 5.16418, 0.052574 0
36000000, 37.8512, 0.0639488, 0.0362653, 0.0342096, 2.33874, 0.0516536 0
40000000, 37.6495, 0.0444212, 0.0715677, 0.0445226, 25.2769, 0.0571158 0
44000000, 36.6882, 0.0729704, 0.067396, 0.0430829, 23.9934, 0.0534944 0
48000000, 37.0258, 0.0696144, 0.0547522, 0.041599, 22.7731, 0.058096 0
52000000, 37.7685, 0.0758047, 0.0763274, 0.0332371, 21.6149, 0.0571025 0
56000000, 37.4274, 0.0687332, 0.0736834, 0.0545022, 20.5529, 0.0554773 0
60000000, 37.7896, 0.0696509, 0.052924, 0.0378571, 19.7738, 0.0522455 0
64000000, 37.6336, 0.0548728, 0.0680992, 0.0516148, 18.4156, 0.0648533 0
68000000, 37.7719, 0.0910611, 0.0626355, 0.0416948, 17.3809, 0.0546599 0
72000000, 37.8273, 0.0580649, 0.0455557, 0.0394936, 16.4161, 0.0547918 0
76000000, 38.1534, 0.0766112, 0.0599872, 0.0418395, 15.5194, 0.0547649 0
80000000, 37.7127, 0.0516222, 0.0572622, 0.0479015, 14.5528, 0.0561378 0
84000000, 37.7632, 0.0875711, 0.0471535, 0.0387007, 13.6407, 0.0554729 0
88000000, 37.2226, 0.0639554, 0.0684485, 0.0422888, 12.7821, 0.054836 0
92000000, 37.3596, 0.0750402, 0.0910564, 0.0489509, 11.8896, 0.0555333 0
96000000, 37.8192, 0.0635853, 0.0540525, 0.0413308, 11.0476, 0.0553269 0
100000000, 37.7598, 0.0757089, 0.072189, 0.0516451, 10.2328, 0.0589622 0
